Job Catogery,Job Title,Corp,Job Location,Work Time
Banking-Jobs,Customer Support Officer,Masria Digital Payment (MDP) -,"New Cairo, Cairo, Egypt",Full Time
Banking-Jobs,Oracle E-Business Suite,BBI-Consultancy -,"Cairo, Egypt",Full Time
Banking-Jobs,Tax Accountant,Miami center company -,"Sidi Bishr, Alexandria, Egypt",Full Time
Banking-Jobs,Finance Manager,The Egyptian Microfinance Company- Maksab -,"New Cairo, Cairo, Egypt",Full Time
Banking-Jobs,Corporate Customer Service Specialist,SSC Egypt -,"Cairo, Egypt",Full Time
Banking-Jobs,Financial Manager,Egyptian Abrasives Co. -,"Alexandria, Egypt",Full Time
Banking-Jobs,Head of SME Lending,Qardy -,"Mohandessin, Giza, Egypt",Full Time
Banking-Jobs,Frontend React Developer,Blackstone Eit -,"Smart Village, Giza, Egypt",Full Time
Banking-Jobs,Accountant (AX) Cairo,Confidential -,"Cairo, Egypt",Full Time
Banking-Jobs,Cost Accounting section head,Egyptian Countryside Development Company  -,"Nasr City, Cairo, Egypt",Full Time
Banking-Jobs,Product Modeling Expert,Aphrie -,"Maadi, Cairo, Egypt",Full Time
Banking-Jobs,Senior CRM Architect,Aphrie -,"Maadi, Cairo, Egypt",Full Time
Banking-Jobs,SME Manager - Loans,e Aswaaq Misr -,"Smart Village, Giza, Egypt",Full Time
Banking-Jobs,Commercial Staff Specialist,Hyundai Rotem -,"New Cairo, Cairo, Egypt",Full Time
Banking-Jobs,Core Banking Technical Support,A1Softech -,"New Cairo, Cairo, Egypt",Full Time
Banking-Jobs,Asst.VP Marketing & Content Manager – International Business Group,SSC Egypt -,"Cairo, Egypt",Full Time
Banking-Jobs,Accountant,Detailer's for trading and service -,"Nasr City, Cairo, Egypt",Full Time
Banking-Jobs,Compliance Officer,Al Ahly capital holding - Al Ahly Tamkeen -,"Zamalek, Cairo, Egypt",Full Time
Banking-Jobs,Internal Audit Manager,Al Ahly capital holding - Al Ahly Tamkeen -,"Maadi, Cairo, Egypt",Full Time
Banking-Jobs,Accountant (L/C's) - Letter of Credit,Confidential -,"Cairo, Egypt",Full Time
Banking-Jobs,Account Receivable Accountant,El Abd Group -,"Mohandessin, Giza, Egypt",Full Time
Banking-Jobs,Chief Accountant,Style Home Development -,"New Cairo, Cairo, Egypt",Full Time
Banking-Jobs,Software Tester | Core Banking,Expleo -,"Maadi, Cairo, Egypt",Full Time
Banking-Jobs,Telesales Executive,Business Consult  -,"Cairo, Egypt",Full Time
Banking-Jobs,Banking Accountant,Talaat Moustafa Group -,"Dokki, Giza, Egypt",Full Time
Banking-Jobs,Senior Financial Analyst,Evergrow for Speciality Fertilizers -,"Smart Village, Giza, Egypt",Full Time
Banking-Jobs,General Accountant,Conserv -,"New Cairo, Cairo, Egypt",Full Time
Banking-Jobs,Treasury Accountant,Conserv -,"New Cairo, Cairo, Egypt",Full Time
Banking-Jobs,Treasury Section Head,Mozare3 -,"6th of October, Giza, Egypt",Full Time
Banking-Jobs,Accountant,Optimarc pharma -,"Heliopolis, Cairo, Egypt",Full Time
Banking-Jobs,Risk Management Section Head,Mozare3 -,"6th of October, Giza, Egypt",Full Time
Banking-Jobs,Senior Business Analyst (Alexandria),Ejada  -,"Siouf, Alexandria, Egypt",Full Time
Banking-Jobs,Senior Business Analyst,Ejada  -,"Heliopolis, Cairo, Egypt",Full Time
Banking-Jobs,Senior Oracle Database Developer,Ejada  -,"Cairo, Egypt",Full Time
Banking-Jobs,Java Lead - Microservices,Ejada  -,"Cairo, Egypt",Full Time
Banking-Jobs,Digital Solution Architect,Ejada  -,"Cairo, Egypt",Full Time
Banking-Jobs,General Accountant,Confidential -,"Maadi, Cairo, Egypt",Full Time
Banking-Jobs,Senior Accountant.,Confidential -,"Cairo, Egypt",Full Time
Banking-Jobs,Operations Specialist,Stryve  -,"New Cairo, Cairo, Egypt",Full Time
Banking-Jobs,Operations Manager,Stryve  -,"New Cairo, Cairo, Egypt",Full Time
Banking-Jobs,Senior Acquiring Operations Executive,Fawry for Banking Technology and Electronic Payments S.A.E -,"Smart Village, Giza, Egypt",Full Time
Banking-Jobs,Finance & Accounting Manager,Stryve  -,"New Cairo, Cairo, Egypt",Full Time
Banking-Jobs,Senior Treasury Accountant,Interact Technology Solutions -,"Maadi, Cairo, Egypt",Full Time
Banking-Jobs,Senior AML Officer,Fawry Microfinance  -,"Maadi, Cairo, Egypt",Full Time
Banking-Jobs,Senior Accountant,Confidential -,"Mohandessin, Giza, Egypt",Full Time
